No	Xt-EHR resource	Xt-EHR field	Xt-EHR cardinality	Xt-EHR description	ExtEHR type	Xt-EHR binding	Xt-EHR source	R5 Mapped Resource	R5 Mapped Field	R5 Relation				R5 Comments	R5 Needs work	R5 Producer Obligation	R5 Consumer Obligation	R5 Composition section	R4 Mapped Resource	R4 Mapped Field	R4 EQ				R4 Modeling	R4 Needs work	R4 Producer Obligation	R4 Consumer Obligation	R4 Composition section	
15	EHDSAdministeredDosage		0..*	Model contains elements needed for registering an individual medication administration. It is derived from the full dosage regimen model in order to keep the consistency between the shared elements.			Administered dosage model																							
16	EHDSAdministeredDosage	renderedDosageInstruction	0..1	Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.	string		Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.																							
17	EHDSAdministeredDosage	dosageDetails	0..1	Details of single dosage scheme step	Base		Details of single dosage scheme step																							
18	EHDSAdministeredDosage	dosageDetails.sequence	0..0	Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.	integer		Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.																							
19	EHDSAdministeredDosage	dosageDetails.note	0..1	Patient oriented instructions as free text for this dosage step	string		Patient oriented instructions as free text for this dosage step																							
20	EHDSAdministeredDosage	dosageDetails.doseAndRate	0..*	Amount of medication administered per one dose (= one timing)	Base		Amount of medication administered per one dose (= one timing)																							
21	EHDSAdministeredDosage	dosageDetails.doseAndRate.dose[x]	0..1	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)	Quantity	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)																							
22	EHDSAdministeredDosage	dosageDetails.doseAndRate.dose[x]	0..1	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)	Range	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml)																							
23	EHDSAdministeredDosage	dosageDetails.doseAndRate.rate[x]	0..1	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).	Quantity	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).																							
24	EHDSAdministeredDosage	dosageDetails.doseAndRate.rate[x]	0..1	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).	Ratio	UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)	Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).																							
25	EHDSAdministeredDosage	dosageDetails.repeat	0..0	Repetition of the administration.	Base		Repetition of the administration.																							
26	EHDSAdministeredDosage	dosageDetails.repeat.bounds	0..1	Time bounds for the treatment (current dosage scheme). Only one of the following can exist.	Base		Time bounds for the treatment (current dosage scheme). Only one of the following can exist.																							
27	EHDSAdministeredDosage	dosageDetails.repeat.bounds.duration	0..1	Number of time units, e.g 10 days	Quantity	UCUM (preferred)	Number of time units, e.g 10 days																							
28	EHDSAdministeredDosage	dosageDetails.repeat.bounds.period	0..1	Start and end date, 05.08.2023 - 10.08.2023	Period		Start and end date, 05.08.2023 - 10.08.2023																							
29	EHDSAdministeredDosage	dosageDetails.repeat.duration	0..1	Duration of administration (e.g '5 minutes', '1 hour')	Quantity	UCUM (preferred)	Duration of administration (e.g '5 minutes', '1 hour')																							
30	EHDSAdministeredDosage	dosageDetails.repeat.frequency	0..1	Frequency of intake/administration (e.g 'three times a day')	Base		Frequency of intake/administration (e.g 'three times a day')																							
31	EHDSAdministeredDosage	dosageDetails.repeat.frequency.numberOfTimes	0..1	Number of times per period (e.g '3 times')	integer		Number of times per period (e.g '3 times')																							
32	EHDSAdministeredDosage	dosageDetails.repeat.frequency.period	0..1	Duration to which the frequency applies (e.g '... / 1 day')	Quantity	UCUM (preferred)	Duration to which the frequency applies (e.g '... / 1 day')																							
33	EHDSAdministeredDosage	dosageDetails.repeat.dayOfWeek	0..*	The day of the week of administration, e.g Mon, Tue, etc	CodeableConcept		The day of the week of administration, e.g Mon, Tue, etc																							
34	EHDSAdministeredDosage	dosageDetails.repeat.timeOfDay	0..*	Exact time of day of administration (e.g '10:00')	time		Exact time of day of administration (e.g '10:00')																							
35	EHDSAdministeredDosage	dosageDetails.repeat.eventTime	0..*	Time period or event when the administration should happen ('before meal', 'immediately', 'morning')	CodeableConcept		Time period or event when the administration should happen ('before meal', 'immediately', 'morning')																							
36	EHDSAdministeredDosage	dosageDetails.asNeeded	0..0	Take as needed	boolean		Take as needed																							
37	EHDSAdministeredDosage	dosageDetails.bodySite	0..1	Body site of administration	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure		Body site of administration																							
38	EHDSAdministeredDosage	dosageDetails.routeOfAdministration	0..1	Route of administration	CodeableConcept	EDQM Standard Terms (preferred)	Route of administration																							
39	EHDSAdvanceDirective		0..*	Healthcare directives concerning life or after life wishes of the patient			Advance directive model																							
40	EHDSAdvanceDirective	header	1..1	Basic metadata for this information	Base		Basic metadata for this information																							
41	EHDSAdvanceDirective	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information																							
42	EHDSAdvanceDirective	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).																							
43	EHDSAdvanceDirective	header.author[x]	0..*	Author of the advance directive.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Author of the advance directive.																							
44	EHDSAdvanceDirective	header.author[x]	0..*	Author of the advance directive.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		Author of the advance directive.																							
45	EHDSAdvanceDirective	header.author[x]	0..*	Author of the advance directive.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Author of the advance directive.																							
46	EHDSAdvanceDirective	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
47	EHDSAdvanceDirective	header.status	1..1	Status of the resource or document	CodeableConcept		Status of the resource or document																							
48	EHDSAdvanceDirective	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
49	EHDSAdvanceDirective	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.																							
50	EHDSAdvanceDirective	category	0..*	Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.	CodeableConcept	SNOMED CT (preferred)	Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.																							
51	EHDSAdvanceDirective	note	0..1	Textual description of the directive	string		Textual description of the directive																							
52	EHDSAdvanceDirective	attachment	0..1	Source document, such as a PDF, with the living will and the patient's signature.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment		Source document, such as a PDF, with the living will and the patient's signature.																							
53	EHDSAlert		0..*	A statement higlighting a fact about the patient that requires clinical attention to ensure safety and prevent adverse outcomes.																										
54	Example 1: intolerance to aspirin due to gastrointestinal bleeding.																													
55	Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)																													
56	Example 3: the patient has a rare disease that requires special treatment																													
57	Example 4: Airway Alert / Difficult Intubation																													
58	Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders, special treatments like anticoagulants or immunosuppressants, implanted devices.																													
59	Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.																													
60	Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.			Alert model																										
61	EHDSAlert	header	1..1	Basic metadata for this information	Base		Basic metadata for this information																							
62	EHDSAlert	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information																							
63	EHDSAlert	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).																							
64	EHDSAlert	header.author[x]	0..*	The author of the alert statement, i.e. the setter of the alert.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The author of the alert statement, i.e. the setter of the alert.																							
65	EHDSAlert	header.author[x]	0..*	The author of the alert statement, i.e. the setter of the alert.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The author of the alert statement, i.e. the setter of the alert.																							
66	EHDSAlert	header.author[x]	0..*	The author of the alert statement, i.e. the setter of the alert.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		The author of the alert statement, i.e. the setter of the alert.																							
67	EHDSAlert	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
68	EHDSAlert	header.status	1..1	Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.	CodeableConcept	hl7:Flag-status (preferred)	Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.																							
69	EHDSAlert	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
70	EHDSAlert	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.																							
71	EHDSAlert	code	0..1	A coded representation of the alert.	CodeableConcept	SNOMED CT (preferred)	A coded representation of the alert.																							
72	EHDSAlert	description	0..1	Narrative representation of the alert.	string		Narrative representation of the alert.																							
73	EHDSAlert	priority	0..1	A code that identifies the priority of the alert.	CodeableConcept	hl7:Flag-priority-code (preferred)	A code that identifies the priority of the alert.																							
74	EHDSAlert	period	0..1	Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified.	Period		Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified.																							
75	EHDSAlert	sourceReference	0..*	A reference to the resource the alert is about.	Resource		A reference to the resource the alert is about.																							
76	EHDSAllergyIntolerance		0..*	Model for allergy or intolerance.			Allergy intolerance model	EuAllergyIntolerance																						
77	EHDSAllergyIntolerance	header	1..1	Basic metadata for this information	Base		Basic metadata for this information																							
78	EHDSAllergyIntolerance	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information	EuAllergyIntolerance	patient	EQ		EuPatient									EQ		EuPatient							
79	EHDSAllergyIntolerance	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	EuAllergyIntolerance	identifier	EQ											EQ									
80	EHDSAllergyIntolerance	header.author[x]	0..*	The author of the allergy/intolerance information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The author of the allergy/intolerance information.																							
81	EHDSAllergyIntolerance	header.author[x]	0..*	The author of the allergy/intolerance information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The author of the allergy/intolerance information.																							
82	EHDSAllergyIntolerance	header.author[x]	0..*	The author of the allergy/intolerance information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		The author of the allergy/intolerance information.																							
83	EHDSAllergyIntolerance	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
84	EHDSAllergyIntolerance	header.status	1..1	Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.	CodeableConcept	HL7 allergy intolerance status (preferred)	Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.	EuAllergyIntolerance	verificationStatus	EQ											EQ									
85	EHDSAllergyIntolerance	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
86	EHDSAllergyIntolerance	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.	EuAllergyIntolerance	language	EQ											EQ									
87	EHDSAllergyIntolerance	agentOrAllergen	1..1	Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., "Latex"), an allergy or intolerance condition (e.g., "Latex allergy"), or a negated/excluded code for a specific substance or class (e.g., "No latex allergy")				EuAllergyIntolerance	code	EQ											EQ									
88	EHDSAllergyIntolerance	agentOrAllergen	1..1	Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., "Latex"), an allergy or intolerance condition (e.g., "Latex allergy"), or a negated/excluded code for a specific substance or class (e.g., "No latex allergy")				EuAllergyIntolerance	reaction.substance	EQ											EQ									
89	It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.	CodeableConcept	ATC, EMA SPOR SMS, SNOMED CT (preferred)	Code that identifies the allergy or intolerance																										
90	EHDSAllergyIntolerance	note	0..1	Additional information about the allergy or intolerance	string		Additional information about the allergy or intolerance																							
91	EHDSAllergyIntolerance	criticality	0..1	Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.	CodeableConcept	HL7 allergy intolerance criticality (preferred)	Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.	EuAllergyIntolerance	criticality	EQ								Procedure			EQ								Procedure	
92	EHDSAllergyIntolerance	certainty	0..1	Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition	CodeableConcept	HL7 allergy intolerance verification (preferred)	Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition	EuAllergyIntolerance	verificationStatus	EQ											EQ									
93	EHDSAllergyIntolerance	onsetDate	0..1	When allergy or intolerance was identified	dateTime		When allergy or intolerance was identified	EuAllergyIntolerance	onsetPeriod	EQ								Procedure			EQ								Procedure	
94	EHDSAllergyIntolerance	onsetDate	0..1	When allergy or intolerance was identified	dateTime		When allergy or intolerance was identified	EuAllergyIntolerance	onsetDateTime	EQ								Procedure			EQ								Procedure	
95	EHDSAllergyIntolerance	endDate	0..1	Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)	dateTime		Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)	EuAllergyIntolerance	extension[abatement].valueDateTime	EQ											EQ									
96	EHDSAllergyIntolerance	reaction	0..*	Adverse reaction events linked to exposure to substance.	Base		Adverse reaction events linked to exposure to substance.	EuAllergyIntolerance	reaction	EQ								Procedure			EQ								Procedure	
97	EHDSAllergyIntolerance	reaction.agentOrAllergen	0..1	Identification of the specific substance (or pharmaceutical product) considered to be responsible for the																										
98	Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified  as the cause of the risk, but it must be consistent with it.																													
99	It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.	CodeableConcept		Specific substance or pharmaceutical product considered to be responsible for event																										
100	EHDSAllergyIntolerance	reaction.manifestation	0..*	Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).	CodeableConcept	ICD-10, SNOMED CT (preferred)	Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).	EuAllergyIntolerance	reaction.manifestation	EQ								Procedure			EQ								Procedure	
101	EHDSAllergyIntolerance	reaction.severity	0..1	Severity of the clinical manifestation of the allergic reaction.	CodeableConcept	SNOMED CT, HL7 reaction event severity (preferred)	Severity of the clinical manifestation of the allergic reaction.	EuAllergyIntolerance	reaction.severity	EQ								Procedure			EQ								Procedure	
102	EHDSAllergyIntolerance	reaction.onset	0..1	Date and time of the onset of the reaction	dateTime		Date and time of the onset of the reaction																							
103	EHDSAttachment		0..*	This model is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.			Attachment model	EuAttachment																						
104	EHDSAttachment	contentType	0..1	Mime type of the content, with charset etc.	CodeableConcept	BCP-13 (preferred)	Mime type of the content, with charset etc.	EuAttachment	contentType	SB	FHIR requires binding.										SB	FHIR requires binding.								
105	EHDSAttachment	language	0..1	Human language of the content	CodeableConcept	BCP 47 (preferred)	Human language of the content	EuAttachment	language	EQ											EQ									
106	EHDSAttachment	data	0..1	The actual data of the attachment - a sequence of bytes, base64 encoded.	base64Binary		The actual data of the attachment - a sequence of bytes, base64 encoded.	EuAttachment	data	EQ											EQ									
107	EHDSAttachment	url	0..1	A location where the data can be accessed.	uri		A location where the data can be accessed.	EuAttachment	url	EQ											EQ									
108	EHDSAttachment	size	0..1	The number of bytes of data that make up this attachment (before base64 encoding).	integer64		The number of bytes of data that make up this attachment (before base64 encoding).	EuAttachment	size	EQ											EQ									
109	EHDSAttachment	title	0..1	A label or set of text to display in place of the data.	string		A label or set of text to display in place of the data.	EuAttachment	title	EQ											EQ									
110	EHDSBodyStructure		0..*	Model for body structure			Body structure model																							
111	EHDSBodyStructure	morphology	0..1	The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.	CodeableConcept	SNOMED CT (preferred)	The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.																							
112	EHDSBodyStructure	location	0..1	Body site	CodeableConcept	SNOMED CT (preferred)	Body site																							
113	EHDSBodyStructure	locationQualifier	0..*	Additional qualifier of the body structure (e.g. upper, lower, left side).	CodeableConcept	SNOMED CT (preferred)	Additional qualifier of the body structure (e.g. upper, lower, left side).																							
114	EHDSBodyStructure	laterality	0..1	Body structure laterality (e.g. left, right).	CodeableConcept	SNOMED CT (preferred)	Body structure laterality (e.g. left, right).																							
115	EHDSBodyStructure	description	0..1	Textual description of the body structure	string		Textual description of the body structure																							
116	EHDSCarePlan		0..*	Simplified model for care plan. The model includes minimal information and is not designed to cover the full functionality of care plans. The model is applicable to different domains.			Care plan model	EuCarePlan																						
117	EHDSCarePlan	header	1..1	Basic metadata for this information	Base		Basic metadata for this information																							
118	EHDSCarePlan	header.subject	1..1	The patient whose intended care is described in the plan.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		The patient whose intended care is described in the plan.	EuCarePlan	subject	EQ		EuPatient									EQ		EuPatient							
119	EHDSCarePlan	header.identifier	0..*	Identifier for the care plan	Identifier		Identifier for the care plan	EuCarePlan	identifier	EQ											EQ									
120	EHDSCarePlan	header.author[x]	0..*	The responsible party (custodian) for the care plan.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The responsible party (custodian) for the care plan.																							
121	EHDSCarePlan	header.author[x]	0..*	The responsible party (custodian) for the care plan.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The responsible party (custodian) for the care plan.																							
122	EHDSCarePlan	header.author[x]	0..*	The responsible party (custodian) for the care plan.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		The responsible party (custodian) for the care plan.																							
123	EHDSCarePlan	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
124	EHDSCarePlan	header.status	1..1	Indicates whether the plan is currently being acted upon, represents future intentions, or is now a historical record.	CodeableConcept	HL7 Request status (preferred)	Indicates whether the plan is currently being acted upon, represents future intentions, or is now a historical record.	EuCarePlan	status	SB	Source binding is preferred, target required.							Recommendation			SB	Source binding is preferred, target required.							Recommendation	
125	EHDSCarePlan	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
126	EHDSCarePlan	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.	EuCarePlan	language	EQ											EQ									
127	EHDSCarePlan	title	0..1	Human-friendly name for the care plan	string		Human-friendly name for the care plan	EuCarePlan	title	EQ								Recommendation			EQ								Recommendation	
128	EHDSCarePlan	title	0..1	Human-friendly name for the care plan	string		Human-friendly name for the care plan	EuCarePlan	title.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml]	SB											SB									
129	EHDSCarePlan	description	0..1	A description of the scope and nature of the plan.	string		A description of the scope and nature of the plan.	EuCarePlan	description	SB	Source is modelled as Narrative (html), target as string							Recommendation			SB	Source is modelled as Narrative (html), target as string							Recommendation	
130	EHDSCarePlan	description	0..1	A description of the scope and nature of the plan.	string		A description of the scope and nature of the plan.	EuCarePlan	description.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml]	SB											SB									
131	EHDSCarePlan	period	0..1	Indicates when the plan did (or is intended to) come into effect and end.	Period		Indicates when the plan did (or is intended to) come into effect and end.	EuCarePlan	subject	EQ		EuPatient									EQ		EuPatient							
132	EHDSCarePlan	addresses[x]	0..*	Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.	CodeableConcept	ICD-10, SNOMED CT, Orphacode (preferred)	Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.																							
133	EHDSCarePlan	addresses[x]	0..*	Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition	ICD-10, SNOMED CT, Orphacode (preferred)	Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.																							
134	EHDSCarePlan	activity[x]	0..*	The details of the proposed activity represented in a specific resource.	CodeableConcept		The details of the proposed activity represented in a specific resource.	EuCarePlan	activity	EQ								Recommendation			EQ								Recommendation	
135	EHDSCarePlan	activity[x]	0..*	The details of the proposed activity represented in a specific resource.	CodeableConcept		The details of the proposed activity represented in a specific resource.																							
136	EHDSCarePlan	activity[x]	0..*	The details of the proposed activity represented in a specific resource.	Reference		The details of the proposed activity represented in a specific resource.	EuCarePlan	activity	EQ								Recommendation			EQ								Recommendation	
137	EHDSCarePlan	activity[x]	0..*	The details of the proposed activity represented in a specific resource.	Reference		The details of the proposed activity represented in a specific resource.																							
138	EHDSCarePlan	goal	0..*	Describes the intended objective(s) of carrying out the care plan.	CodeableConcept		Describes the intended objective(s) of carrying out the care plan.																							
139	EHDSCondition		0..*	Model for a clinical condition, problem, diagnosis, or other event, situation, or issue that has risen to a level of concern.			Condition model	EuCondition																						R
140	EHDSCondition	header	1..1	Basic metadata for this information	Base		Basic metadata for this information	EuCondition																						
141	EHDSCondition	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information	EuCondition	subject	EQ											EQ									
142	EHDSCondition	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	EuCondition	identifier	EQ											EQ									
143	EHDSCondition	header.author[x]	0..*	The author of the condition information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The author of the condition information.																							
144	EHDSCondition	header.author[x]	0..*	The author of the condition information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The author of the condition information.																							
145	EHDSCondition	header.author[x]	0..*	The author of the condition information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		The author of the condition information.																							
146	EHDSCondition	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
147	EHDSCondition	header.status	1..1	Status of the condition/problem (e.g. active, resolved, inactive, etc)	CodeableConcept	HL7 Condition Clinical Status Codes (preferred)	Status of the condition/problem (e.g. active, resolved, inactive, etc)	EuCondition		EQ				The status of the information is covered by the mapping of ProblemStatus and DiagnosticAssertionStatus. The resource instance status is handled by the server and is opaque to the information modeling.	The status of the resource is handled by the server, there is no good place to map this against						EQ				The status of the information is covered by the mapping of ProblemStatus and DiagnosticAssertionStatus. The resource instance status is handled by the server and is opaque to the information modeling.	The status of the resource is handled by the server, there is no good place to map this against				
148	EHDSCondition	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
149	EHDSCondition	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.	EuCondition	language	EQ											EQ									
